Provinsi,Kabupaten/Kota,Kecamatan,Kelurahan/Desa,Jumlah Penduduk,Jumlah Kepala Keluarga,Perpindahan Penduduk,Jumlah Meninggal,Perubahan Data,Wajib KTP,Jumlah Rekam Wajib KTP,Islam,Kristen,Katholik,Hindu,Buddha,Konghuchu,Kepercayaan terhadap Tuhan YME,Laki-laki,Perempuan,Belum Kawin,Kawin,Cerai Hidup,Cerai Mati,Usia 0-4 Tahun,Usia 5-9 Tahun,Usia 10-14 Tahun,Usia 15-19 Tahun,Usia 20-24 Tahun,Usia 25-29 Tahun,Usia 30-34 Tahun,Usia 35-39 Tahun,Usia 40-44 Tahun,Usia 45-49 Tahun,Usia 50-54 Tahun,Usia 55-59 Tahun,Usia 60-64 Tahun,Usia 65-69 Tahun,Usia 70-74 Tahun,Usia 75 Tahun ke Atas,Lahir Tahun 2020,Lahir Sebelum Tahun 2020,Lahir Tahun 2021,Lahir Sebelum Tahun 2021,Lahir Tahun 2022,Lahir Sebelum Tahun 2022,Lahir Tahun 2023,Lahir Sebelum Tahun 2023,Lahir Tahun 2024,Lahir Sebelum Tahun 2024,Pertumbuhan Penduduk Tahun 2020 (%),Pertumbuhan Penduduk Tahun 2021 (%),Pertumbuhan Penduduk Tahun 2022 (%),Pertumbuhan Penduduk Tahun 2023 (%),Pertumbuhan Penduduk Tahun 2024 (%),Usia Pendidikan 3-4 Tahun,Usia Pendidikan 5 Tahun,Usia Pendidikan 6-11 Tahun,Usia Pendidikan 12-14 Tahun,Usia Pendidikan 15-17 Tahun,Usia Pendidikan 18-22 Tahun,Tidak/Belum Sekolah,Belum Tamat SD,Tamat SD,SLTP,SLTA,D1 dan D2,D3,S1,S2,S3,Golongan Darah A,Golongan Darah B,Golongan Darah AB,Golongan Darah O,Golongan Darah A+,Golongan Darah A-,Golongan Darah B+,Golongan Darah B-,Golongan Darah AB+,Golongan Darah AB-,Golongan Darah O+,Golongan Darah O-,Golongan Darah Tidak Diketahui,Belum/Tidak Bekerja,Nelayan,Pelajar dan Mahasiswa,Pensiunan,Perdagangan,Mengurus Rumah Tannga,Wiraswasta,Guru,Perawat,Pengacara,Pekerjaan Lainnya
JAWA TIMUR,KAB. JEMBER,WULUHAN,AMPEL,"20,413","6,972",39,37,"18,031","15,809","15,809","20,391",8,11,1,2,0,0,"10,316","10,097","7,967","11,124",419,903,"1,069","1,421","1,514","1,277","1,576","1,461","1,427","1,346","1,478","1,548","1,589","1,405","1,134",829,603,736,284,"19,344",251,"19,628",221,"19,879",188,"20,100",125,"20,288",1,1,1,1,1,535,274,"1,716",945,783,"1,354","4,971","2,341","5,378","3,720","3,248",82,114,533,26,0,111,89,40,182,2,1,2,0,1,0,9,23,"19,953","5,362",27,"2,338",37,363,"3,012","3,141",189,22,,
JAWA TIMUR,KAB. JEMBER,BALUNG,BALUNGLOR,"24,104","8,535",55,85,"21,321","18,658","18,658","23,716",239,103,11,35,0,0,"11,996","12,108","9,460","12,480",696,"1,468","1,311","1,623","1,775","1,499","1,872","1,656","1,622","1,614","1,873","1,705","1,740","1,662","1,336","1,048",776,992,367,"22,793",291,"23,160",242,"23,451",242,"23,693",169,"23,935",2,1,1,1,1,658,334,"1,993","1,071",889,"1,644","6,401","3,038","5,862","3,468","4,275",99,198,713,49,1,189,157,54,335,9,0,10,1,2,2,8,14,"23,323","6,909",7,"2,402",90,901,"4,562","4,912",275,40,,
JAWA TIMUR,KAB. JEMBER,PUGER,JAMBEARUM,"7,621","2,553",10,21,"6,567","5,894","5,894","7,601",15,2,1,0,0,2,"3,876","3,745","2,981","4,138",161,341,421,508,569,534,569,569,524,514,588,522,594,546,419,295,219,230,101,"7,200",109,"7,301",95,"7,410",78,"7,505",38,"7,583",1,1,1,1,1,210,118,588,371,332,519,"1,773",645,"2,779","1,219",989,34,25,147,10,0,22,54,14,92,4,1,1,0,0,2,4,2,"7,425","1,840",7,989,15,155,"1,278","1,374",58,8,,
JAWA TIMUR,KAB. JEMBER,PANTI,SUCI,"11,989","4,255",36,43,"10,451","9,052","9,052","11,966",13,9,1,0,0,0,"5,924","6,065","4,641","6,471",293,584,733,871,962,740,975,928,856,829,877,775,864,726,622,479,379,373,182,"11,256",173,"11,438",150,"11,611",129,"11,761",99,"11,890",2,2,1,1,1,355,206,"1,055",572,450,856,"3,732","1,624","3,011","1,749","1,616",19,39,190,9,0,72,97,45,146,0,0,2,0,0,1,0,3,"11,623","3,545",2,"1,137",10,145,"2,228","1,836",67,2,,
JAWA TIMUR,KAB. JEMBER,PAKUSARI,PATEMON,"5,909","2,167",19,14,"5,224","4,473","4,473","5,863",34,5,0,7,0,0,"2,896","3,013","2,200","3,195",158,356,358,451,440,344,429,438,458,441,473,356,405,338,321,245,197,215,81,"5,551",89,"5,632",79,"5,721",62,"5,800",47,"5,862",1,2,1,1,1,170,93,530,268,222,361,"1,624",543,"1,593",756,"1,073",30,44,233,13,0,58,75,25,123,4,0,2,0,1,0,5,0,"5,616","1,720",,483,42,227,899,"1,103",38,2,1,
JAWA TIMUR,KAB. JEMBER,PAKUSARI,KERTOSARI,"9,901","3,642",33,27,"8,682","7,495","7,495","9,827",35,32,6,0,1,0,"4,931","4,970","3,638","5,502",247,514,592,719,780,611,766,762,747,662,745,723,703,599,496,364,290,342,137,"9,309",134,"9,446",125,"9,580",112,"9,705",83,"9,817",1,1,1,1,1,271,130,883,486,380,658,"2,790","1,209","3,014","1,183","1,368",25,54,237,19,2,66,63,30,140,1,1,3,0,2,0,1,3,"9,591","2,875",,749,31,103,"2,325","1,624",60,7,,
JAWA TIMUR,KAB. JEMBER,LEDOKOMBO,SUMBERLESUNG,"8,171","3,148",25,14,"7,274","6,205","6,205","8,158",10,3,0,0,0,0,"4,019","4,152","2,876","4,560",240,495,492,616,612,457,583,565,591,577,616,557,558,504,464,321,285,373,129,"7,679",104,"7,808",106,"7,912",85,"8,018",68,"8,103",2,1,1,1,1,233,122,734,372,286,506,"2,381","1,192","2,807",843,739,21,34,148,6,0,24,46,17,55,0,0,1,0,1,0,1,4,"8,022","2,401",,566,39,163,"1,429","1,230",22,10,,
JAWA TIMUR,KAB. JEMBER,SUKOWONO,SUKOWONO,"10,922","4,118",13,29,"9,595","8,427","8,427","10,605",260,30,3,23,1,0,"5,380","5,542","3,957","5,970",251,744,663,735,798,620,852,751,701,752,806,798,789,736,603,476,340,502,155,"10,259",143,"10,414",128,"10,557",113,"10,685",124,"10,798",2,1,1,1,1,298,147,896,490,358,749,"2,833","1,108","3,467","1,314","1,626",55,90,410,17,2,57,79,22,148,0,0,1,0,2,1,7,2,"10,603","2,925",,915,88,161,"2,049","2,311",104,13,,
JAWA TIMUR,KAB. JEMBER,KALIWATES,TEGALBESAR,"41,582","13,260",169,87,"37,498","30,560","30,560","39,972","1,009",502,49,49,1,0,"20,654","20,928","18,067","20,777",992,"1,746","2,781","3,423","3,437","2,995","3,292","3,343","3,288","3,193","3,200","2,930","2,815","2,429","1,787","1,072",715,882,688,"38,801",603,"39,489",549,"40,092",579,"40,641",362,"41,220",2,2,1,1,1,"1,291",687,"4,058","2,115","1,807","3,085","11,962","4,010","4,988","4,287","9,519",403,"1,369","4,555",459,30,937,"1,443",404,"2,736",59,1,45,1,19,1,29,18,"35,889","13,141",6,"4,973",385,280,"6,811","5,621",714,133,11,
JAWA TIMUR,KAB. JEMBER,PATRANG,BARATAN,"12,121","4,084",41,28,"10,784","9,050","9,050","11,989",95,34,3,0,0,0,"5,952","6,169","4,894","6,316",256,655,822,948,929,792,947,"1,000",946,907,882,798,767,715,500,450,281,437,184,"11,299",168,"11,483",177,"11,651",176,"11,828",117,"12,004",2,1,2,1,1,352,183,"1,118",576,509,819,"3,587","1,418","2,712","1,291","2,071",61,186,710,72,13,207,291,89,501,16,0,10,1,2,1,7,5,"10,991","3,700",,"1,203",91,138,"2,240","2,092",139,32,1,
